Data Source,MAXABSIMPXTE (m),AVGABSIMPXTE (m)
Run 1 - Magnum_380_run_1_1.25mph_2,0.036,0.021
Run 2 - Magnum_380_run_1_1.25mph_3,0.036,0.017
Run 3 - Magnum_380_run_2_3mph_1,0.049,0.019
Run 4 - Magnum_380_run_2_3mph_2,0.041,0.014
Run 5 - Magnum_380_run_2_3mph_3,0.051,0.014
Run 6 - Magnum_380_run_3_6.2mph_1,0.128,0.034
Run 7 - Magnum_380_run_3_6.2mph_2,0.089,0.031
Run 8 - Magnum_380_run_3_6.2mph_3,0.064,0.025
Run 9 - Magnum_380_run_4_9.2mph_1,0.109,0.037
Run 10 - Magnum_380_run_4_9.2mph_2,0.098,0.031
Run 11 - Magnum_380_run_4_9.2mph_3,0.065,0.024
Run 12 - Magnum_380_run_5_12.4mph_1,0.086,0.03
Run 13 - Magnum_380_run_5_12.4mph_2,0.141,0.044
Run 14 - Magnum_380_run_5_12.4mph_3,0.195,0.059
Run 15 - Magnum_380_run_6_5mph_1,0.081,0.021
