Kringle Event UUID,Kringle Event Start Datetime (UTC),AVGVelocity (mps),Data Source,IMPSettlingDistance (m),IMPSettlingTime (s),AVGABSCommandAngle (deg),AVGABSIMPXTE (m),AVGABSRoll (deg),AVGABSSteeringAngle (deg),AVGABSXTE (m),AVGCommandAngle (deg),AVGIMPXTE (m),AVGRoll (deg),AVGSpeed (mps),AVGSpeedkph (kph),AVGSteeringAngle (deg),AVGVelocitykph (kph),AVGXTE (m),Distance (m),Duration (s),MAXABSCommandAngle (deg),MAXABSCommandSlew (dps),MAXABSIMPXTE (m),MAXABSIMPXTE (cm),MAXABSRoll (deg),MAXABSSteeringAngle (deg),MAXABSSteeringSlew (dps),MAXABSXTE (m),MAXIMPXTE (m),MAXXTE (m),MINABSIMPXTE (m),MINABSRoll (deg),MINABSXTE (m),MINIMPXTE (m),MINXTE (m),STDCommandAngle (deg),STDIMPXTE (m),STDRoll (deg),STDSteeringAngle (deg),STDXTE (m),SteeringDelay (deg),SwathType (None)
7beed793-f3b4-4a58-b8a3-b08909ffd357,2026-06-30T17:21:07.850000+00:00,0.538,Run 1 - Magnum_380_run_1_1.25mph_2,0,0,1.365,0.021,0.131,1.456,0.022,-1.365,-0.018,0.057,0.538,1.936,-0.054,1.936,-0.022,31.465,58.55,2.658,1.938,0.036,3.6,0.44,6.747,9.863,0.036,0.019,-0.004,0,0,0.004,-0.036,-0.036,0.444,0.015,0.149,1.849,0.007,1.784,Heading
70af1eea-2259-48b9-a35c-91aefea34a5e,2026-06-30T17:22:07.050000+00:00,0.531,Run 2 - Magnum_380_run_1_1.25mph_3,0,0,1.11,0.017,0.164,1.218,0.013,-1.109,-0.017,-0.019,0.531,1.912,-0.008,1.912,0.006,33.095,62.35,2.261,1.544,0.036,3.6,0.87,5.603,8.534,0.03,0.002,0.03,0,0,0,-0.036,-0.026,0.407,0.012,0.211,1.526,0.013,1.52,Heading
2e7300f7-c59d-4f83-92f8-d672fc4b0ab5,2026-06-30T17:23:55.450000+00:00,1.331,Run 3 - Magnum_380_run_2_3mph_1,0,0,1.419,0.019,0.211,1.162,0.032,-1.12,-0.013,-0.139,1.331,4.791,0.077,4.791,-0.014,80.799,60.8,4.282,4.171,0.049,4.9,0.68,4.701,6.897,0.078,0.03,0.067,0,0,0,-0.049,-0.078,1.279,0.017,0.21,1.473,0.035,1.404,Heading
eb0c6404-228e-4709-b79f-f1818100653b,2026-06-30T17:24:57.350000+00:00,1.326,Run 4 - Magnum_380_run_2_3mph_2,0,0,1.283,0.014,0.171,0.946,0.035,-1.114,0.002,0.134,1.326,4.772,0.005,4.772,0.023,81.198,61.3,4.755,3.76,0.041,4.1,0.51,5.227,5.083,0.1,0.04,0.1,0,0,0,-0.041,-0.069,1.133,0.018,0.148,1.216,0.036,1.262,Heading
25042444-482c-438c-9ed2-aef1723affc8,2026-06-30T17:26:03.150000+00:00,1.327,Run 5 - Magnum_380_run_2_3mph_3,0,0,1.43,0.012,0.217,1.02,0.027,-1.274,0.002,0.185,1.327,4.775,-0.05,4.775,0.018,76.148,57.45,4.066,3.47,0.05,5,0.61,4.347,4.45,0.077,0.05,0.077,0,0,0,-0.026,-0.033,1.125,0.015,0.174,1.27,0.028,1.376,Heading
8f2709f1-3c89-4481-94a1-e6ec8473275d,2026-06-30T17:29:03.500000+00:00,2.731,Run 6 - Magnum_380_run_3_6.2mph_1,0,0,1.408,0.034,0.172,0.608,0.044,-1.4,-0.013,-0.133,2.731,9.831,-0.03,9.831,-0.005,156.476,57.35,3.756,2.191,0.128,12.8,0.6,2.822,2.837,0.163,0.097,0.135,0,0,0,-0.128,-0.163,0.767,0.042,0.165,0.754,0.063,1.385,Heading
79ab7fc2-e528-463f-b8cb-b981230ce6b0,2026-06-30T17:30:24.200000+00:00,2.746,Run 7 - Magnum_380_run_3_6.2mph_2,0,0,1.151,0.023,0.253,0.498,0.037,-1.148,0.005,0.194,2.746,9.886,0.036,9.886,0.028,112.314,40.95,2.403,1.384,0.089,8.9,1.04,2.092,3.018,0.137,0.089,0.137,0,0,0,-0.05,-0.071,0.449,0.031,0.25,0.641,0.04,1.199,Heading
963a3c4e-28ca-486f-b7d3-1ceceb40a939,2026-06-30T17:32:55.550000+00:00,2.753,Run 8 - Magnum_380_run_3_6.2mph_3,0,0,1.199,0.023,0.208,0.61,0.04,-1.184,-0.007,0.007,2.753,9.909,-0.01,9.909,0.023,156.758,57,3.279,2.163,0.064,6.4,0.79,3.345,4.27,0.124,0.06,0.124,0,0,0,-0.064,-0.1,0.66,0.028,0.256,0.79,0.045,1.199,Heading
1e503eee-24c9-4ff1-8491-8fc4a589da34,2026-06-30T17:36:09.450000+00:00,4.012,Run 9 - Magnum_380_run_4_9.2mph_1,0,0,1.2,0.037,0.292,0.531,0.04,-1.199,-0.014,0.197,4.012,14.443,0.003,14.443,0.01,226.47,56.5,2.851,1.671,0.109,10.9,1.08,2.578,3.391,0.137,0.079,0.137,0,0,0,-0.109,-0.13,0.537,0.044,0.303,0.689,0.049,1.247,Heading
6f411c74-abef-4e9a-8d71-814642f0dfa1,2026-06-30T17:38:21+00:00,4.013,Run 10 - Magnum_380_run_4_9.2mph_2,0,0,1.047,0.03,0.249,0.524,0.035,-1.035,-0.008,-0.003,4.013,14.448,-0.004,14.448,-0.009,243.612,60.75,2.094,1.427,0.098,9.8,0.85,2.65,4.32,0.124,0.098,0.124,0,0,0,-0.095,-0.106,0.416,0.039,0.306,0.675,0.044,1.077,Heading
5165d2f7-36a3-429d-ace7-2f7de7afcb9c,2026-06-30T17:40:43.550000+00:00,4.034,Run 11 - Magnum_380_run_4_9.2mph_3,0,0,1.204,0.023,0.308,0.458,0.037,-1.186,0.002,0.2,4.034,14.524,-0.005,14.524,0.031,207.374,51.5,2.609,2.122,0.065,6.5,1.14,2.14,2.821,0.109,0.059,0.109,0,0,0,-0.065,-0.044,0.475,0.028,0.325,0.59,0.033,1.205,Heading
95f0a3fa-a620-4a93-ad09-cf7d981e32b5,2026-06-30T17:45:39.250000+00:00,5.378,Run 12 - Magnum_380_run_5_12.4mph_1,0,0,1.194,0.028,0.312,0.562,0.036,-1.193,-0.009,-0.037,5.378,19.36,0.008,19.36,0.004,283.406,52.75,2.84,2.522,0.085,8.5,1.34,2.986,4.133,0.131,0.083,0.131,0,0,0,-0.085,-0.085,0.491,0.033,0.393,0.733,0.043,1.261,Heading
486b8948-9091-4355-9f96-20855e0230d2,2026-06-30T17:49:28.450000+00:00,5.338,Run 13 - Magnum_380_run_5_12.4mph_2,0,0,1.268,0.045,0.336,0.499,0.046,-1.268,-0.011,0.182,5.338,19.217,-0.014,19.217,0,261.037,48.95,2.62,1.261,0.141,14.1,1.42,2.864,4.462,0.142,0.1,0.113,0,0,0,-0.141,-0.142,0.553,0.056,0.373,0.644,0.058,1.296,Heading
90061430-89ac-4271-adef-4c5e5cfa61fc,2026-06-30T17:55:15.450000+00:00,5.375,Run 14 - Magnum_380_run_5_12.4mph_3,0,0,1.213,0.059,0.206,0.424,0.056,-1.205,-0.017,0.077,5.375,19.349,-0.004,19.349,-0.008,318.724,59.35,2.103,1.355,0.195,19.5,0.95,2.631,3.005,0.2,0.195,0.2,0,0,0,-0.148,-0.149,0.508,0.07,0.252,0.557,0.071,1.235,Heading
fee3693b-6581-48a2-9ba3-259db3eecff5,2026-06-30T18:11:56.700000+00:00,2.215,Run 15 - Magnum_380_run_6_5mph_1,0,0,2.65,0.021,0.38,2.126,0.184,-1.072,-0.009,0.33,2.215,7.973,0.008,7.973,0.004,252.028,113.85,7.284,5.322,0.081,8.1,1.18,6.357,6.116,0.338,0.081,0.338,0,0,0,-0.071,-0.316,2.922,0.025,0.311,2.505,0.206,1.333,Curve
00ea4776-d38b-4ce0-b1e3-073a691823b2,2026-06-30T18:15:13.900000+00:00,2.223,Run 16 - Magnum_380_run_6_5mph_2,0,0,2.623,0.017,0.266,2.065,0.166,-1.216,-0.009,-0.15,2.223,8.003,-0.012,8.003,-0.017,259.438,116.75,6.718,2.956,0.062,6.2,1.28,5.988,5.161,0.324,0.036,0.285,0,0,0,-0.062,-0.324,2.796,0.019,0.295,2.435,0.19,1.357,Curve
28b65015-cc2e-4f91-89e1-ef7c891139d0,2026-06-30T18:18:18.600000+00:00,2.215,Run 17 - Magnum_380_run_6_5mph_3,0,0,2.862,0.015,0.37,2.152,0.179,-1.087,0.003,0.292,2.215,7.975,0.025,7.975,0.04,249.228,112.55,6.451,3.376,0.051,5.1,1.39,6.347,5.976,0.437,0.042,0.437,0,0,0,-0.051,-0.227,3.02,0.018,0.346,2.561,0.208,1.398,Curve
