Data Source,MAXABSIMPXTE (m),AVGABSIMPXTE (m)
Run 1 - Magnum_380_run_1_1.25mph_2,0.036,0.021
Run 2 - Magnum_380_run_1_1.25mph_3,0.036,0.017
Run 3 - Magnum_380_run_2_3mph_1,0.049,0.019
Run 4 - Magnum_380_run_2_3mph_2,0.041,0.014
Run 5 - Magnum_380_run_2_3mph_3,0.05,0.012
Run 6 - Magnum_380_run_3_6.2mph_1,0.128,0.034
Run 7 - Magnum_380_run_3_6.2mph_2,0.089,0.023
Run 8 - Magnum_380_run_3_6.2mph_3,0.064,0.023
Run 9 - Magnum_380_run_4_9.2mph_1,0.109,0.037
Run 10 - Magnum_380_run_4_9.2mph_2,0.098,0.03
Run 11 - Magnum_380_run_4_9.2mph_3,0.065,0.023
Run 12 - Magnum_380_run_5_12.4mph_1,0.085,0.028
Run 13 - Magnum_380_run_5_12.4mph_2,0.141,0.045
Run 14 - Magnum_380_run_5_12.4mph_3,0.195,0.059

Acceptance criteria for PEAKS AVG 0.05m 
Acceptance criteria for ABS AVG 0.025

RUN #,PEAKS AVG (m),STATUS - PEAKS AVG,ABS AVG (m),STATUS ABS AVG
run 1,0.036,Pass,0.019000000000000003,Pass
run 2,0.04666666666666667,Pass,0.015,Pass
run 3,0.09366666666666668,Fail,0.02666666666666667,Fail
run 4,0.09066666666666667,Fail,0.03,Fail
run 5,0.14033333333333334,Fail,0.044000000000000004,Fail
