Kringle Event UUID,Kringle Event Start Datetime (UTC),AVGVelocity (mps),ABSEngageAngle (deg),ABSEngageOffset (m),Data Source,IMPSettlingDistance (m),IMPSettlingTime (s),AVGABSCommandAngle (deg),AVGABSIMPXTE (m),AVGABSRoll (deg),AVGABSSteeringAngle (deg),AVGABSXTE (m),AVGCommandAngle (deg),AVGIMPXTE (m),AVGRoll (deg),AVGSpeed (mps),AVGSteeringAngle (deg),AVGXTE (m),Distance (m),Duration (s),MAXABSCommandAngle (deg),MAXABSCommandSlew (dps),MAXABSIMPXTE (m),MAXABSRoll (deg),MAXABSSteeringAngle (deg),MAXABSSteeringSlew (dps),MAXABSXTE (m),MAXIMPXTE (m),MAXXTE (m),MINABSIMPXTE (m),MINABSRoll (deg),MINABSXTE (m),MINIMPXTE (m),MINXTE (m),Overshoot (m),STDCommandAngle (deg),STDIMPXTE (m),STDRoll (deg),STDSteeringAngle (deg),STDXTE (m),SettlingDistance (m),SettlingTime (s),SteeringDelay (deg),SwathType (None)
14ca2371-9e32-457c-9099-78c04e0a6417,2026-04-16T17:59:23.900000+00:00,0.562,0.267,0.123,Run 1 - Magnum_380_straight_1.25mph_run1,0.0,0.0,1.055,0.035,0.167,0.804,0.04,-1.053,0.035,0.08,0.562,0.001,0.036,34.814,62.05,1.924,1.229,0.059,0.49,3.306,5.361,0.123,0.059,0.123,0.004,0.0,0.0,0.004,-0.018,,0.364,0.015,0.187,1.015,0.036,0.0,0.0,1.213,Heading
324648e5-47fb-47e7-9aff-c6aa7f3f4875,2026-04-16T18:00:26.950000+00:00,0.569,0.237,0.019,Run 2 - Magnum_380_straight_1.25mph_run2,0.0,0.0,1.103,0.015,0.173,0.769,0.009,-1.103,-0.015,0.067,0.569,-0.048,-0.002,36.998,65.1,2.025,1.209,0.028,0.55,3.595,5.36,0.023,0.007,0.014,0.0,0.0,0.0,-0.028,-0.023,,0.34,0.008,0.204,0.976,0.011,0.0,0.0,1.207,Heading
0ae11a4a-d15a-46e2-bfa9-15f582377f71,2026-04-16T18:01:33+00:00,0.575,0.312,0.011,Run 3 - Magnum_380_straight_1.25mph_run3,0.0,0.0,0.916,0.009,0.113,0.814,0.015,-0.916,-0.009,0.057,0.575,0.033,0.015,35.892,62.5,1.626,1.309,0.031,0.39,3.52,6.48,0.036,0.001,0.036,0.0,0.0,0.0,-0.031,-0.006,,0.314,0.007,0.123,1.021,0.011,0.0,0.0,1.144,Heading
b20a8ab4-11df-439f-9230-588768a62876,2026-04-16T18:03:22.200000+00:00,1.36,0.732,0.039,Run 4 - Magnum_380_straight_3.1mph_run1,0.0,0.0,1.165,0.01,0.195,0.769,0.03,-1.037,0.001,0.171,1.36,0.048,0.026,91.772,67.55,3.934,2.62,0.038,0.7,3.467,4.508,0.076,0.038,0.076,0.0,0.0,0.0,-0.029,-0.031,,0.933,0.012,0.17,0.981,0.027,0.0,0.0,1.184,Heading
6f1a2486-d3ef-4617-8d22-37fd6050184b,2026-04-16T18:04:32.800000+00:00,1.355,0.219,0.005,Run 5 - Magnum_380_straight_3.1mph_run2,0.0,0.0,1.17,0.019,0.243,0.827,0.033,-1.039,0.005,0.095,1.355,-0.011,0.015,84.241,62.2,4.47,3.377,0.064,0.74,4.021,4.485,0.121,0.064,0.121,0.0,0.0,0.0,-0.032,-0.049,,0.962,0.024,0.286,1.063,0.043,0.0,0.0,1.158,Heading
477a4033-fd06-42b1-a590-d3cbcfb20ed1,2026-04-16T18:07:56.600000+00:00,1.357,1.41,0.113,Run 6 - Magnum_380_straight_3.1mph_run3,8.832,6.5,1.266,0.018,0.292,0.77,0.051,-1.135,0.007,0.276,1.357,-0.001,0.051,84.935,62.65,3.778,2.616,0.054,0.65,3.6,3.748,0.137,0.054,0.137,0.0,0.0,0.0,-0.034,-0.014,0.0,0.999,0.022,0.158,0.989,0.035,8.832,6.5,1.203,Heading
c4f4bcb7-ed4a-4ae4-9cba-dea751db7a20,2026-04-16T18:09:30.750000+00:00,2.692,0.691,0.007,Run 7 - Magnum_380_straight_6.2mph_run1,4.179,1.55,0.966,0.022,0.325,0.49,0.036,-0.96,-0.008,0.281,2.692,0.017,0.024,166.934,62.05,2.684,2.074,0.065,0.9,2.078,2.975,0.102,0.049,0.102,0.0,0.0,0.0,-0.065,-0.07,0.05,0.487,0.025,0.263,0.615,0.038,4.179,1.55,1.002,Heading
4720cc8a-8efa-41c8-9ff4-3729e7dd6530,2026-04-16T18:12:05.250000+00:00,2.712,0.867,0.044,Run 8 - Magnum_380_straight_6.2mph_run2,2.328,0.85,1.16,0.019,0.248,0.586,0.033,-1.148,-0.002,0.185,2.712,-0.015,0.013,177.074,65.35,3.361,2.414,0.06,1.01,2.694,4.028,0.097,0.06,0.097,0.0,0.0,0.0,-0.06,-0.071,0.0,0.69,0.024,0.247,0.755,0.036,2.328,0.85,1.177,Heading
c75fd248-1eb2-4fca-afba-ba7fc0790c01,2026-04-16T18:17:03.800000+00:00,2.699,0.28,0.037,Run 9 - Magnum_380_straight_6.2mph_run3,0.0,0.0,0.978,0.015,0.199,0.511,0.03,-0.927,-0.003,-0.176,2.699,0.013,0.02,173.983,64.5,2.573,2.613,0.053,0.7,2.099,3.301,0.102,0.045,0.102,0.0,0.0,0.0,-0.053,-0.057,,0.617,0.02,0.154,0.653,0.033,0.0,0.0,0.988,Heading
b67ef4be-9c3f-46fd-9b5d-1f5789996967,2026-04-16T18:20:47.750000+00:00,4.017,0.133,0.031,Run 10 - Magnum_380_straight_9.2mph_run1,0.0,0.0,1.11,0.029,0.406,0.433,0.041,-1.105,0.001,0.401,4.017,-0.008,0.027,246.384,61.4,2.573,1.851,0.129,1.05,2.135,2.818,0.179,0.129,0.179,0.0,0.0,0.0,-0.085,-0.084,,0.512,0.039,0.214,0.552,0.047,0.0,0.0,1.118,Heading
2e13487e-8a89-4fa6-9efe-bdee7aabffdf,2026-04-16T18:23:30.150000+00:00,3.967,0.08,0.017,Run 11 - Magnum_380_straight_9.2mph_run2,18.033,4.55,1.174,0.035,0.231,0.442,0.045,-1.167,0.001,-0.151,3.967,-0.02,0.021,269.516,68.0,2.854,2.198,0.106,0.87,2.368,2.884,0.157,0.106,0.157,0.0,0.0,0.0,-0.082,-0.094,0.041,0.562,0.043,0.233,0.574,0.052,18.033,4.55,1.175,Heading
