Kringle Event UUID,Kringle Event Start Datetime (UTC),AVGVelocity (mps),Data Source,IMPSettlingDistance (m),IMPSettlingTime (s),AVGABSCommandAngle (deg),AVGABSIMPXTE (m),AVGABSRoll (deg),AVGABSSteeringAngle (deg),AVGABSXTE (m),AVGCommandAngle (deg),AVGIMPXTE (m),AVGRoll (deg),AVGSpeed (mps),AVGSteeringAngle (deg),AVGXTE (m),Distance (m),Duration (s),MAXABSCommandAngle (deg),MAXABSCommandSlew (dps),MAXABSIMPXTE (m),MAXABSRoll (deg),MAXABSSteeringAngle (deg),MAXABSSteeringSlew (dps),MAXABSXTE (m),MAXIMPXTE (m),MAXXTE (m),MINABSIMPXTE (m),MINABSRoll (deg),MINABSXTE (m),MINIMPXTE (m),MINXTE (m),STDCommandAngle (deg),STDIMPXTE (m),STDRoll (deg),STDSteeringAngle (deg),STDXTE (m),SteeringDelay (deg),SwathType (None)
73d4a91f-767b-4f15-b60f-2ca5df0a9224,2026-04-16T17:59:23.900000+00:00,0.562,Run 1 - Magnum_380_straight_1.25mph_run1,0.0,0.0,1.055,0.035,0.167,0.804,0.04,-1.053,0.035,0.08,0.562,0.001,0.036,34.814,62.05,1.924,1.229,0.059,0.49,3.306,5.361,0.123,0.059,0.123,0.004,0.0,0.0,0.004,-0.018,0.364,0.015,0.187,1.015,0.036,1.213,Heading
c9412187-2390-4423-9dc0-551f5caaa601,2026-04-16T18:00:26.950000+00:00,0.569,Run 2 - Magnum_380_straight_1.25mph_run2,0.0,0.0,1.103,0.015,0.173,0.769,0.009,-1.103,-0.015,0.067,0.569,-0.048,-0.002,36.998,65.1,2.025,1.209,0.028,0.55,3.595,5.36,0.023,0.007,0.014,0.0,0.0,0.0,-0.028,-0.023,0.34,0.008,0.204,0.976,0.011,1.207,Heading
b8d61822-1969-48b5-ab18-b00d72df6ef1,2026-04-16T18:01:33+00:00,0.575,Run 3 - Magnum_380_straight_1.25mph_run3,0.0,0.0,0.916,0.009,0.113,0.814,0.015,-0.916,-0.009,0.057,0.575,0.033,0.015,35.892,62.5,1.626,1.309,0.031,0.39,3.52,6.48,0.036,0.001,0.036,0.0,0.0,0.0,-0.031,-0.006,0.314,0.007,0.123,1.021,0.011,1.144,Heading
d425e00e-f79a-4e4f-9630-1709b215a260,2026-04-16T18:03:22.200000+00:00,1.36,Run 4 - Magnum_380_straight_3.1mph_run1,0.0,0.0,1.165,0.01,0.195,0.769,0.03,-1.037,0.001,0.171,1.36,0.048,0.026,91.772,67.55,3.934,2.62,0.038,0.7,3.467,4.508,0.076,0.038,0.076,0.0,0.0,0.0,-0.029,-0.031,0.933,0.012,0.17,0.981,0.027,1.184,Heading
e3924b08-f5f5-4464-9f33-a482d54314f6,2026-04-16T18:04:32.800000+00:00,1.355,Run 5 - Magnum_380_straight_3.1mph_run2,0.0,0.0,1.17,0.019,0.243,0.827,0.033,-1.039,0.005,0.095,1.355,-0.011,0.015,84.241,62.2,4.47,3.377,0.064,0.74,4.021,4.485,0.121,0.064,0.121,0.0,0.0,0.0,-0.032,-0.049,0.962,0.024,0.286,1.063,0.043,1.158,Heading
20bd97fd-c79b-480a-adbf-21b9d63b8ee5,2026-04-16T18:08:03.100000+00:00,1.357,Run 6 - Magnum_380_straight_3.1mph_run3,0.0,0.0,1.31,0.016,0.313,0.798,0.05,-1.164,0.003,0.306,1.357,-0.008,0.049,76.103,56.15,3.778,2.616,0.049,0.65,3.6,3.748,0.137,0.049,0.137,0.0,0.0,0.0,-0.034,-0.014,1.042,0.019,0.129,1.021,0.036,1.223,Heading
e590afab-3a68-4f81-8588-dc723e7bbe92,2026-04-16T18:09:32.300000+00:00,2.692,Run 7 - Magnum_380_straight_6.2mph_run1,0.0,0.0,0.971,0.021,0.331,0.495,0.036,-0.965,-0.007,0.286,2.692,0.016,0.024,162.755,60.5,2.684,2.074,0.065,0.9,2.078,2.975,0.102,0.049,0.102,0.0,0.0,0.0,-0.065,-0.07,0.492,0.025,0.263,0.62,0.039,1.007,Heading
effb4ffd-140b-4fee-b91c-7296034550dc,2026-04-16T18:12:06.100000+00:00,2.711,Run 8 - Magnum_380_straight_6.2mph_run2,0.0,0.0,1.157,0.019,0.249,0.583,0.033,-1.145,-0.003,0.186,2.711,-0.017,0.013,174.746,64.5,3.361,2.414,0.06,1.01,2.694,4.028,0.097,0.05,0.097,0.0,0.0,0.0,-0.06,-0.071,0.693,0.023,0.248,0.752,0.036,1.172,Heading
f2db465e-a131-4fde-b7b4-898f038fc613,2026-04-16T18:17:03.800000+00:00,2.699,Run 9 - Magnum_380_straight_6.2mph_run3,0.0,0.0,0.978,0.015,0.199,0.511,0.03,-0.927,-0.003,-0.176,2.699,0.013,0.02,173.983,64.5,2.573,2.613,0.053,0.7,2.099,3.301,0.102,0.045,0.102,0.0,0.0,0.0,-0.053,-0.057,0.617,0.02,0.154,0.653,0.033,0.988,Heading
f9728f00-4884-4511-98c4-a06dc01d13f2,2026-04-16T18:20:47.750000+00:00,4.022,Run 10 - Magnum_380_straight_9.2mph_run1,0.0,0.0,1.09,0.031,0.396,0.469,0.055,-1.082,0.001,0.389,4.022,0.034,0.037,120.039,29.9,2.573,1.851,0.095,1.03,2.135,2.127,0.179,0.095,0.179,0.0,0.0,0.0,-0.085,-0.084,0.584,0.039,0.211,0.6,0.058,1.136,Heading
41ee4f0f-02bb-46a0-9252-3288fa2095b0,2026-04-16T18:21:25.300000+00:00,4.005,Run 11 - Magnum_380_straight_9.2mph_run1,0.0,0.0,1.129,0.015,0.417,0.397,0.025,-1.128,-0.008,0.411,4.005,-0.024,0.02,95.283,23.85,2.217,1.496,0.048,1.05,1.792,2.417,0.061,0.025,0.061,0.0,0.0,0.0,-0.048,-0.028,0.44,0.017,0.216,0.497,0.02,1.12,Heading
3bb0ba20-ed09-4e63-af6d-ead76b7a5a0e,2026-04-16T18:23:34.700000+00:00,3.981,Run 12 - Magnum_380_straight_9.2mph_run2,0.0,0.0,1.129,0.033,0.253,0.399,0.052,-1.122,-0.009,-0.224,3.981,0.051,0.027,111.071,27.95,2.571,1.541,0.098,0.74,1.75,2.031,0.157,0.098,0.157,0.0,0.0,0.0,-0.082,-0.086,0.497,0.041,0.185,0.516,0.057,1.18,Heading
5ebfd814-36e8-4e3e-bb92-d1273e438a67,2026-04-16T18:24:22.450000+00:00,3.94,Run 13 - Magnum_380_straight_9.2mph_run2,0.0,0.0,1.173,0.029,0.198,0.583,0.034,-1.164,0.009,-0.019,3.94,-0.084,0.022,61.663,15.7,2.794,2.198,0.079,0.74,2.012,2.884,0.106,0.079,0.106,0.0,0.0,0.0,-0.044,-0.05,0.642,0.033,0.25,0.72,0.04,1.163,Heading
586a633d-46e4-4259-accd-dbf80115caca,2026-04-16T18:27:37.450000+00:00,4.053,Run 14 - Magnum_380_straight_9.2mph_run3,0.0,0.0,1.01,0.024,0.192,0.355,0.026,-0.999,-0.008,0.005,4.053,-0.003,0.002,101.721,25.15,1.855,1.427,0.063,1.15,1.323,2.17,0.06,0.06,0.056,0.0,0.0,0.0,-0.063,-0.06,0.395,0.029,0.263,0.443,0.031,1.011,Heading
255f4a5b-6ff8-44df-98f7-7ff45082e96c,2026-04-16T18:36:07.700000+00:00,5.428,Run 15 - Magnum_380_straight_12.4mph_run1,0.0,0.0,0.835,0.03,0.244,0.335,0.042,-0.819,-0.001,0.174,5.428,-0.004,0.02,204.643,37.75,1.778,1.611,0.098,0.95,1.29,2.159,0.184,0.098,0.184,0.0,0.0,0.0,-0.076,-0.07,0.383,0.038,0.254,0.42,0.049,0.857,Heading
c3138b2b-0e76-455a-8f33-c37f3d3423ce,2026-04-16T18:36:51.650000+00:00,4.966,Run 16 - Magnum_380_straight_12.4mph_run1,0.0,0.0,0.245,0.022,0.514,0.415,0.029,-0.106,-0.013,0.506,4.966,0.048,-0.026,34.746,7.05,0.784,0.832,0.048,1.13,1.307,1.853,0.065,0.021,0.032,0.0,0.01,0.001,-0.048,-0.065,0.284,0.023,0.242,0.51,0.02,0.468,Heading
a6808ad6-021f-4477-99b0-08e154e24969,2026-04-16T18:39:03.250000+00:00,5.465,Run 17 - Magnum_380_straight_12.4mph_run2,0.0,0.0,1.054,0.024,0.291,0.323,0.045,-1.054,0.01,0.206,5.465,0.006,0.043,330.068,60.45,1.857,1.059,0.076,1.17,1.713,2.382,0.12,0.076,0.12,0.0,0.0,0.0,-0.049,-0.033,0.282,0.028,0.292,0.41,0.033,1.071,Heading
8c5cdba3-0640-4fc3-812b-6314e823112a,2026-04-16T18:44:46.350000+00:00,5.395,Run 18 - Magnum_380_straight_12.4mph_run3,0.0,0.0,0.967,0.029,0.205,0.404,0.036,-0.967,0.005,0.018,5.395,0.004,0.03,155.64,28.9,1.957,1.098,0.1,1.12,1.609,2.404,0.119,0.1,0.119,0.0,0.0,0.0,-0.077,-0.038,0.33,0.035,0.279,0.496,0.035,0.981,Heading
0389f073-381f-4d21-91fb-4fa49551911a,2026-04-16T18:45:16.450000+00:00,5.448,Run 19 - Magnum_380_straight_12.4mph_run3,0.0,0.0,0.939,0.018,0.2,0.31,0.025,-0.939,0.007,-0.008,5.448,-0.001,0.024,170.257,31.3,1.642,0.991,0.06,0.83,1.454,2.424,0.08,0.06,0.08,0.0,0.0,0.0,-0.042,-0.017,0.22,0.021,0.257,0.397,0.02,0.946,Heading
9af35c00-8f43-416d-a327-5fb38bb21986,2026-04-16T19:00:09.350000+00:00,2.309,Run 20 - Magnum_380_curve1deg_5mph_run1,0.0,0.0,2.493,0.02,0.261,2.065,0.156,-1.024,-0.005,0.018,2.309,0.012,0.003,265.335,114.95,6.306,2.889,0.071,1.34,7.29,5.702,0.3,0.051,0.3,0.0,0.0,0.001,-0.071,-0.277,2.719,0.024,0.339,2.411,0.177,1.218,Curve
c311fc1f-6c00-438d-8587-0db49ee483bb,2026-04-16T19:03:25.450000+00:00,2.308,Run 21 - Magnum_380_curve1deg_5mph_run2,0.0,0.0,2.491,0.019,0.39,2.125,0.173,-1.033,-0.01,0.353,2.308,-0.004,0.013,259.68,112.55,7.472,4.88,0.061,1.69,7.227,6.046,0.355,0.043,0.27,0.0,0.0,0.0,-0.061,-0.355,2.874,0.021,0.307,2.497,0.197,1.219,Curve
b120603c-2730-4bc2-bd76-5c72522649b8,2026-04-16T19:07:28.950000+00:00,2.209,Run 22 - Magnum_380_curve1deg_5mph_run3,0.0,0.0,2.448,0.019,0.239,2.115,0.189,-0.994,0.004,-0.046,2.209,-0.011,0.018,268.3,121.5,10.31,3.69,0.056,1.2,9.178,6.104,0.484,0.056,0.26,0.0,0.0,0.0,-0.045,-0.484,3.115,0.022,0.293,2.634,0.221,1.219,Curve
